interaction_id,student_id,event_id,action_type,timestamp,rating,weight
1,1,96,viewed,06-08-2025 00:00,0,0.2
2,1,79,viewed,13-10-2025 00:00,0,0.2
3,1,78,viewed,27-09-2025 00:00,0,0.2
4,1,76,attended,18-09-2025 00:00,4,1
5,1,125,registered,17-08-2025 00:00,4.5,0.8
6,1,8,liked,28-09-2025 00:00,0,0.5
7,1,37,registered,27-09-2025 00:00,3.3,0.8
8,1,151,registered,12-08-2025 00:00,4.6,0.8
9,1,108,liked,22-09-2025 00:00,0,0.5
10,1,13,viewed,20-09-2025 00:00,0,0.2
11,1,73,viewed,06-08-2025 00:00,0,0.2
12,1,56,attended,26-09-2025 00:00,4.5,1
13,1,47,liked,22-08-2025 00:00,0,0.5
14,1,190,registered,13-10-2025 00:00,4.3,0.8
15,1,126,registered,09-09-2025 00:00,4.1,0.8
16,1,1,viewed,11-10-2025 00:00,0,0.2
17,1,32,viewed,09-10-2025 00:00,0,0.2
18,1,141,liked,07-08-2025 00:00,0,0.5
19,2,134,viewed,12-08-2025 00:00,0,0.2
20,2,49,viewed,13-08-2025 00:00,0,0.2
21,2,193,liked,06-09-2025 00:00,0,0.5
22,2,122,viewed,02-09-2025 00:00,0,0.2
23,2,129,registered,20-08-2025 00:00,3.6,0.8
24,2,5,viewed,22-08-2025 00:00,0,0.2
25,2,31,viewed,11-09-2025 00:00,0,0.2
26,2,169,viewed,08-08-2025 00:00,0,0.2
27,2,137,viewed,13-08-2025 00:00,0,0.2
28,2,47,viewed,22-09-2025 00:00,0,0.2
29,2,195,registered,03-09-2025 00:00,3.8,0.8
30,2,71,registered,16-08-2025 00:00,3.1,0.8
31,2,53,viewed,15-10-2025 00:00,0,0.2
32,2,63,viewed,05-10-2025 00:00,0,0.2
33,2,181,registered,19-09-2025 00:00,4.9,0.8
34,2,149,viewed,10-09-2025 00:00,0,0.2
35,2,114,viewed,22-09-2025 00:00,0,0.2
36,2,22,viewed,04-08-2025 00:00,0,0.2
37,2,192,viewed,30-08-2025 00:00,0,0.2
38,2,156,attended,03-08-2025 00:00,3.5,1
39,2,83,attended,13-08-2025 00:00,3.5,1
40,2,103,liked,17-08-2025 00:00,0,0.5
41,2,151,viewed,22-09-2025 00:00,0,0.2
42,2,12,viewed,04-10-2025 00:00,0,0.2
43,2,126,viewed,19-08-2025 00:00,0,0.2
44,2,6,viewed,22-08-2025 00:00,0,0.2
45,2,88,registered,08-10-2025 00:00,4.9,0.8
46,2,112,attended,11-10-2025 00:00,3.9,1
47,2,191,viewed,29-09-2025 00:00,0,0.2
48,2,107,attended,07-09-2025 00:00,4.3,1
49,2,7,viewed,08-08-2025 00:00,0,0.2
50,2,136,attended,01-10-2025 00:00,3.5,1
51,2,82,viewed,18-09-2025 00:00,0,0.2
52,3,162,liked,27-09-2025 00:00,0,0.5
53,3,55,viewed,11-09-2025 00:00,0,0.2
54,3,150,viewed,28-09-2025 00:00,0,0.2
55,3,131,attended,12-09-2025 00:00,3,1
56,3,73,liked,01-08-2025 00:00,0,0.5
57,3,12,liked,01-08-2025 00:00,0,0.5
58,3,42,attended,23-08-2025 00:00,3.8,1
59,3,190,registered,02-10-2025 00:00,4.5,0.8
60,3,137,liked,10-08-2025 00:00,0,0.5
61,3,145,liked,26-09-2025 00:00,0,0.5
62,3,18,liked,15-09-2025 00:00,0,0.5
63,3,77,attended,18-09-2025 00:00,4.7,1
64,3,23,viewed,23-08-2025 00:00,0,0.2
65,3,102,registered,02-08-2025 00:00,3.2,0.8
66,3,179,viewed,25-08-2025 00:00,0,0.2
67,3,32,viewed,29-08-2025 00:00,0,0.2
68,3,36,registered,05-09-2025 00:00,4.4,0.8
69,3,143,registered,25-08-2025 00:00,3.2,0.8
70,3,72,liked,08-09-2025 00:00,0,0.5
71,3,111,registered,29-08-2025 00:00,3.5,0.8
72,3,54,viewed,16-09-2025 00:00,0,0.2
73,3,157,viewed,03-10-2025 00:00,0,0.2
74,3,130,attended,27-08-2025 00:00,3,1
75,3,82,attended,20-09-2025 00:00,3.2,1
76,3,175,viewed,04-10-2025 00:00,0,0.2
