event_id,title,description,dept,tags,club_id,event_type,date,location,popularity_score,total_registered,created_at
1,Automation Expo,"An engaging event focused on Power Systems, AI, 3D Printing organized by Club_5.",Electrical,"Power Systems, AI, 3D Printing",5,Hackathon,11-12-2025,ECE Lab,0.77,126,06-09-2025 00:00
2,Embedded Systems Hackathon,"An engaging event focused on Cybersecurity, AI organized by Club_6.",Computer Science,"Cybersecurity, AI",6,Exhibition,22-10-2025,Auditorium,0.79,219,12-08-2025 00:00
3,Embedded Systems Workshop,"An engaging event focused on Web Development, IoT, Power Systems, AI organized by Club_5.",Electronics,"Web Development, IoT, Power Systems, AI",5,Hackathon,03-12-2025,CSE Hall,0.94,210,29-08-2025 00:00
4,Networking Summit,"An engaging event focused on Robotics, Machine Learning, IoT organized by Club_1.",Mechanical,"Robotics, Machine Learning, IoT",1,Competition,12-10-2025,Civil Seminar Hall,0.72,32,21-09-2025 00:00
5,Cybersecurity Expo,"An engaging event focused on IoT, CAD organized by Club_9.",Information Technology,"IoT, CAD",9,Exhibition,19-10-2025,Main Hall,0.88,70,22-09-2025 00:00
6,Embedded Systems Hackathon,"An engaging event focused on Power Systems, AI organized by Club_8.",Information Technology,"Power Systems, AI",8,Exhibition,15-10-2025,Auditorium,0.5,42,13-09-2025 00:00
7,AI Hackathon,"An engaging event focused on AI, Machine Learning, 3D Printing organized by Club_5.",Electronics,"AI, Machine Learning, 3D Printing",5,Seminar,09-11-2025,CSE Hall,0.82,127,21-08-2025 00:00
8,Cybersecurity Summit,"An engaging event focused on 3D Printing, IoT, CAD organized by Club_2.",Electronics,"3D Printing, IoT, CAD",2,Exhibition,21-10-2025,Civil Seminar Hall,0.64,27,09-09-2025 00:00
9,IoT Expo,"An engaging event focused on 3D Printing, IoT organized by Club_9.",Computer Science,"3D Printing, IoT",9,Seminar,19-10-2025,CSE Hall,0.97,165,06-09-2025 00:00
10,AI Summit,"An engaging event focused on Automation, IoT, 3D Printing organized by Club_8.",Computer Science,"Automation, IoT, 3D Printing",8,Competition,04-10-2025,Auditorium,0.74,45,07-08-2025 00:00
11,Automation Challenge,"An engaging event focused on Embedded Systems, Robotics, Power Systems organized by Club_10.",Computer Science,"Embedded Systems, Robotics, Power Systems",10,Seminar,18-12-2025,Main Hall,0.68,190,22-09-2025 00:00
12,Machine Learning Challenge,"An engaging event focused on Machine Learning, Networking, CAD, Automation organized by Club_3.",Civil,"Machine Learning, Networking, CAD, Automation",3,Seminar,13-10-2025,CSE Hall,0.73,258,31-08-2025 00:00
13,Networking Expo,"An engaging event focused on Cybersecurity, IoT, Embedded Systems, Robotics organized by Club_6.",Information Technology,"Cybersecurity, IoT, Embedded Systems, Robotics",6,Workshop,28-11-2025,ECE Lab,0.74,53,31-08-2025 00:00
14,Automation Hackathon,"An engaging event focused on Web Development, Robotics, Cybersecurity organized by Club_6.",Electrical,"Web Development, Robotics, Cybersecurity",6,Workshop,17-10-2025,ECE Lab,0.75,227,22-09-2025 00:00
15,Embedded Systems Hackathon,"An engaging event focused on Machine Learning, Networking, Cybersecurity, 3D Printing organized by Club_8.",Mechanical,"Machine Learning, Networking, Cybersecurity, 3D Printing",8,Seminar,22-11-2025,Mechanical Block,0.62,144,05-09-2025 00:00
16,Embedded Systems Challenge,"An engaging event focused on IoT, Cloud organized by Club_10.",Electrical,"IoT, Cloud",10,Seminar,12-12-2025,CSE Hall,0.89,298,14-09-2025 00:00
17,Machine Learning Hackathon,"An engaging event focused on Machine Learning, Power Systems, Networking, Automation organized by Club_8.",Civil,"Machine Learning, Power Systems, Networking, Automation",8,Competition,16-12-2025,CSE Hall,0.73,69,22-09-2025 00:00
18,Networking Challenge,"An engaging event focused on Machine Learning, Automation, Web Development organized by Club_10.",Electronics,"Machine Learning, Automation, Web Development",10,Seminar,11-11-2025,CSE Hall,0.75,51,06-08-2025 00:00
19,CAD Hackathon,"An engaging event focused on Networking, AI, Robotics, Sustainability organized by Club_3.",Mechanical,"Networking, AI, Robotics, Sustainability",3,Seminar,07-11-2025,Main Hall,0.69,248,13-08-2025 00:00
20,Embedded Systems Expo,"An engaging event focused on Automation, Networking, Sustainability organized by Club_5.",Electronics,"Automation, Networking, Sustainability",5,Seminar,12-10-2025,ECE Lab,0.79,281,26-08-2025 00:00
21,Web Development Expo,"An engaging event focused on 3D Printing, AI, Networking organized by Club_9.",Computer Science,"3D Printing, AI, Networking",9,Competition,15-10-2025,Main Hall,0.93,35,16-08-2025 00:00
22,Embedded Systems Challenge,"An engaging event focused on Sustainability, IoT, Power Systems organized by Club_7.",Mechanical,"Sustainability, IoT, Power Systems",7,Seminar,25-11-2025,CSE Hall,0.77,108,31-08-2025 00:00
23,Cybersecurity Summit,"An engaging event focused on Web Development, IoT, Embedded Systems organized by Club_3.",Mechanical,"Web Development, IoT, Embedded Systems",3,Competition,18-10-2025,Main Hall,0.51,28,10-08-2025 00:00
24,Web Development Challenge,"An engaging event focused on Machine Learning, Robotics organized by Club_7.",Electrical,"Machine Learning, Robotics",7,Seminar,29-12-2025,Mechanical Block,0.8,237,09-09-2025 00:00
25,Cloud Summit,"An engaging event focused on 3D Printing, CAD, Embedded Systems organized by Club_6.",Mechanical,"3D Printing, CAD, Embedded Systems",6,Seminar,24-11-2025,Main Hall,0.8,275,24-09-2025 00:00
26,AI Workshop,"An engaging event focused on Embedded Systems, 3D Printing, Automation organized by Club_6.",Mechanical,"Embedded Systems, 3D Printing, Automation",6,Exhibition,12-12-2025,Mechanical Block,0.74,208,08-08-2025 00:00
27,Web Development Expo,"An engaging event focused on Robotics, Power Systems organized by Club_9.",Civil,"Robotics, Power Systems",9,Exhibition,29-11-2025,Auditorium,0.76,287,26-09-2025 00:00
28,Sustainability Hackathon,"An engaging event focused on Sustainability, Power Systems, Web Development organized by Club_2.",Information Technology,"Sustainability, Power Systems, Web Development",2,Hackathon,14-12-2025,Civil Seminar Hall,0.66,47,27-09-2025 00:00
29,Power Systems Expo,"An engaging event focused on CAD, 3D Printing, Web Development organized by Club_10.",Computer Science,"CAD, 3D Printing, Web Development",10,Seminar,23-11-2025,Auditorium,0.68,170,19-08-2025 00:00
30,AI Challenge,"An engaging event focused on Power Systems, Cybersecurity, Web Development, Automation organized by Club_5.",Civil,"Power Systems, Cybersecurity, Web Development, Automation",5,Hackathon,14-12-2025,Main Hall,0.58,46,12-09-2025 00:00
31,Robotics Hackathon,"An engaging event focused on Cybersecurity, CAD organized by Club_2.",Mechanical,"Cybersecurity, CAD",2,Seminar,10-10-2025,Civil Seminar Hall,0.93,162,17-08-2025 00:00
32,Automation Summit,"An engaging event focused on Web Development, Cybersecurity, AI organized by Club_2.",Electronics,"Web Development, Cybersecurity, AI",2,Seminar,15-12-2025,ECE Lab,0.87,248,24-08-2025 00:00
33,Web Development Workshop,"An engaging event focused on CAD, Robotics organized by Club_9.",Civil,"CAD, Robotics",9,Seminar,13-11-2025,Mechanical Block,0.99,94,08-09-2025 00:00
34,Cloud Hackathon,"An engaging event focused on Cloud, Sustainability, CAD organized by Club_3.",Electrical,"Cloud, Sustainability, CAD",3,Workshop,14-11-2025,Auditorium,0.53,155,18-09-2025 00:00
